Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price,District
41.0,0.0,3.5,5.0,4.0,4.0,Have certificate,Full,10.0,Cầu Giấy
35.0,0.0,0.0,4.0,3.0,3.0,Have certificate,Basic,2.9,Hà Đông
38.0,0.0,0.0,3.0,3.0,3.0,Have certificate,Full,2.1,Chương Mỹ
52.0,4.0,3.0,4.0,4.0,4.0,None,None,6.5,Đống Đa
45.0,6.0,3.0,4.0,4.0,4.0,Have certificate,None,7.65,Đống Đa
36.0,7.0,3.0,5.0,3.0,4.0,Have certificate,Full,5.6,Nam Từ Liêm
35.0,5.0,2.0,5.0,5.0,4.0,Have certificate,Full,6.85,Cầu Giấy
33.0,3.0,2.0,5.0,3.0,4.0,Have certificate,Full,4.48,Hoàng Mai
30.0,3.4,3.0,6.0,4.0,5.0,None,Full,5.65,Đống Đa
60.0,0.0,3.0,4.0,4.0,3.0,Have certificate,Basic,2.65,Chương Mỹ
36.0,4.0,3.0,5.0,4.0,4.0,Have certificate,Basic,6.0,Hai Bà Trưng
35.0,0.0,0.0,5.0,4.0,3.0,Have certificate,None,3.5,Hà Đông
42.0,3.3,5.0,4.0,5.0,4.0,Have certificate,Full,8.8,Thanh Xuân
33.0,4.5,2.5,5.0,3.0,4.0,Have certificate,Full,4.15,Long Biên
56.0,4.8,3.0,6.0,4.0,4.0,Have certificate,None,5.3,Tây Hồ
60.0,0.0,2.0,3.0,3.0,3.0,Have certificate,None,4.7,Thanh Trì
70.0,0.0,0.0,5.0,5.0,4.0,None,None,6.9,Long Biên
35.0,0.0,0.0,4.0,4.0,3.0,Have certificate,Full,6.25,Cầu Giấy
36.5,3.6,4.0,6.0,3.0,4.0,Have certificate,Basic,4.1,Hoài Đức
12.0,3.0,3.0,5.0,3.0,4.0,None,None,1.8,Đống Đa
56.0,3.85,2.8,4.0,4.0,5.0,Have certificate,Full,8.5,Thanh Xuân
55.0,5.0,3.0,5.0,4.0,5.0,Have certificate,Full,6.8,Thanh Xuân
37.0,4.0,0.0,6.0,3.0,3.0,Have certificate,Full,5.6,Long Biên
45.0,3.5,2.0,4.0,4.0,3.0,Have certificate,Basic,4.95,Long Biên
30.0,6.0,2.0,6.0,3.0,4.0,Have certificate,Basic,4.6,Long Biên
45.0,0.0,0.0,5.0,3.0,4.0,Have certificate,Full,5.7,Quận Long Biên
32.0,0.0,0.0,5.0,3.0,4.0,Have certificate,Full,5.7,Hai Bà Trưng
42.0,5.6,3.0,5.0,3.0,4.0,Have certificate,Basic,8.5,Đống Đa
33.0,3.3,3.5,4.0,4.0,4.0,Have certificate,None,5.4,Nam Từ Liêm
40.0,4.25,3.0,5.0,4.0,4.0,Have certificate,Full,6.3,Bắc Từ Liêm
34.0,0.0,0.0,4.0,3.0,4.0,Have certificate,Full,2.95,Hà Đông
34.0,4.25,3.0,3.0,3.0,3.0,Have certificate,Basic,2.1,Chương Mỹ
34.0,8.1,0.0,5.0,4.0,4.0,Have certificate,None,8.0,Hà Đông
